"Name, Vornamen",Geburts­jahr,Partei,kandidiert im/für,ausgeschieden
"Groß, Rainer",1960,AfD,Wahlkreis 224,
"Groß, Tobias Anton",1981,FREIE WÄHLER,"Wahlkreis 235
    und 
    Land Bayern (Platz 25)",
"Große, Björn",1980,Die PARTEI,Land Nordrhein-Westfalen (Platz 88),
"Große, Elvira Corinna",1979,CDU,Land Baden-Württemberg (Platz 56),
"Grosse-Brömer, Michael",1960,CDU,"Wahlkreis 036
    und 
    Land Niedersachsen (Platz 2)",
"Große-Neugebauer, Juliane Gertrud",1966,CDU,Land Niedersachsen (Platz 48),
"Großer, Pia Sophie",2002,Volt,"Wahlkreis 270
    und 
    Land Baden-Württemberg (Platz 15)",
"Großkopf, Tristan",1999,Internationalistisches Bündnis,Wahlkreis 037,
"Grote, Julia Christiane",1989,CSU,Land Bayern (Platz 42),
"Grotepaß, Christa",1957,dieBasis,Land Baden-Württemberg (Platz 24),
"Grothe, Rick",1987,Die PARTEI,Wahlkreis 058,
"Grötsch, Ulrich Peter",1975,SPD,"Wahlkreis 235
    und 
    Land Bayern (Platz 1)",
"Grottker, Constanze",1962,dieBasis,Wahlkreis 159,
"Grouwet, Carl Jean Marie",1965,FDP,Wahlkreis 084,
"Grübel, Markus",1959,CDU,Wahlkreis 261,
"Gruber, Jana Marie",1990,SPD,Land Brandenburg (Platz 16),
"Gruber, Roland Heinrich",1966,LKR,"Wahlkreis 233
    und 
    Land Bayern (Platz 12)",
"Dr. Grumbach, Hans-Joachim",1967,FREIE WÄHLER,Wahlkreis 107,
"Grummich, Horst",1957,GRÜNE,Land Sachsen (Platz 10),
"Grünbacher, Patrick",1985,LKR,Land Baden-Württemberg (Platz 5),
"Grund, Manfred",1955,CDU,"Wahlkreis 189
    und 
    Land Thüringen (Platz 4)",
"Gründer, Nils Jan",1997,FDP,"Wahlkreis 232
    und 
    Land Bayern (Platz 15)",
"Grundl, Erhard",1963,GRÜNE,"Wahlkreis 231
    und 
    Land Bayern (Platz 8)",
"Gründler, Michael",1958,BüSo,Wahlkreis 160,
"Grundmann, Oliver Klaus",1971,CDU,"Wahlkreis 030
    und 
    Land Niedersachsen (Platz 18)",
"Grüner, Hans Rudolf",1955,FDP,"Wahlkreis 157
    und 
    Land Sachsen (Platz 15)",
"Grünke, Julian Simon",1995,FDP,"Wahlkreis 290
    und 
    Land Baden-Württemberg (Platz 18)",
"Grüntker, Kathrin Sibylle",1984,CDU,Land Hessen (Platz 41),
"Grupp, Heiko Holger Karl Robert",1949,MLPD,Wahlkreis 110,
"Gruß, Barbara Maria Katharina",1943,MLPD,Land Thüringen (Platz 7),
"Grüß, Michael",1976,DKP,Land Brandenburg (Platz 2),
"Grütte, Antje",1962,Internationalistisches Bündnis,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 1)",
"Grütters, Monika",1962,CDU,"Wahlkreis 077
    und 
    Land Berlin (Platz 1)",
"Grützmacher, Lena",1984,CDU,Land Schleswig-Holstein (Platz 24),
"Grützmacher, Sabine",1986,GRÜNE,"Wahlkreis 099
    und 
    Land Nordrhein-Westfalen (Platz 25)",
"Gscheidle, Robin",1998,Volt,Wahlkreis 273,
"Gschwind-Wiese, Gabriele Maria Margareta",1962,DIE LINKE,Wahlkreis 006,
"Gudat, Helmut",1957,NPD,Land Nordrhein-Westfalen (Platz 8),
"Guderjahn, Marcel",1981,Gartenpartei,Land Sachsen-Anhalt (Platz 7),
"Guhl, Carina",1987,Die PARTEI,Land Nordrhein-Westfalen (Platz 43),
"Gülden, Suat Niyazi",1997,FDP,"Wahlkreis 144
    und 
    Land Nordrhein-Westfalen (Platz 38)",
"Güldener, Michael",1970,FREIE WÄHLER,"Wahlkreis 056
    und 
    Land Brandenburg (Platz 7)",
"Güldenfuß, Sandra",1971,dieBasis,Land Bayern (Platz 41),
"Guldner, Udo Roman",1960,dieBasis,Land Saarland (Platz 2),
"Güler, Serap",1980,CDU,"Wahlkreis 101
    und 
    Land Nordrhein-Westfalen (Platz 8)",
"Gumnior, Lena Maria",1992,GRÜNE,"Wahlkreis 034
    und 
    Land Niedersachsen (Platz 17)",
"Gums, Rüdiger",1959,Einzelbewerber Rüdiger Gums Parteilos,Wahlkreis 033,
"Gün, Aydogan",1979,Team Todenhöfer,Land Hamburg (Platz 3),
"Dr. Gundelach, Herlind Magdalena",1949,CDU,Land Hamburg (Platz 8),
"Gündüz, Lisa-Catharina",1990,Team Todenhöfer,Land Nordrhein-Westfalen (Platz 4),
"Günther, Corinna",1965,Tierschutzpartei,Wahlkreis 041,
"Günther, Daniel",1984,Die PARTEI,Wahlkreis 084,
"Günther, Georg",1988,CDU,"Wahlkreis 015
    und 
    Land Mecklenburg-Vorpommern (Platz 4)",
"Günther, Heinz-Peter",1961,AfD,Land Sachsen-Anhalt (Platz 5),
"Günther, Helmut Otto Karl Dieter",1952,FREIE WÄHLER,"Wahlkreis 189
    und 
    Land Thüringen (Platz 8)",
"Günther, Lars",1976,AfD,Wahlkreis 059,
"Günther, Paul-Nikos",2003,GRÜNE,Land Bremen (Platz 4),
"Günther, Stefan",1981,PIRATEN,"Wahlkreis 057
    und 
    Land Brandenburg (Platz 1)",
"Günther, Thomas Karl",1971,AfD,Wahlkreis 049,
"Güntzler, Fritz",1966,CDU,"Wahlkreis 053
    und 
    Land Niedersachsen (Platz 10)",
"Gürpinar, Ates Nils",1984,DIE LINKE,"Wahlkreis 222
    und 
    Land Bayern (Platz 4)",
"Gürtler, Thomas Andre",1989,NPD,Land Brandenburg (Platz 2),
"Dr. Guse, Jan-Hinrich Walter",1964,LKR,Land Baden-Württemberg (Platz 9),
"Gust, Erdmann",1965,DUD,Wahlkreis 050,
"Gutjahr, Karsten",1980,Die PARTEI,Wahlkreis 151,
"Gutknecht, Marc",1974,dieBasis,Wahlkreis 104,
"Gutperle, Karoline",1983,ÖDP,Land Sachsen-Anhalt (Platz 2),
"Gutting, Olav Steffen",1970,CDU,Wahlkreis 278,
"Gutwerk, Catharina Johanna",1986,Die PARTEI,Land Niedersachsen (Platz 20),
"Gutzeit, David Frederic",2001,FREIE WÄHLER,"Wahlkreis 009
    und 
    Land Schleswig-Holstein (Platz 3)",
"Güyildar, Ezgi Bilge",1987,DIE LINKE,"Wahlkreis 120
    und 
    Land Nordrhein-Westfalen (Platz 11)",
"Gwosdz, Michael",1974,GRÜNE,Land Hamburg (Platz 10),
"Gysi, Gregor",1948,DIE LINKE,Wahlkreis 084,
"Haak, Holger Michael",1971,Die PARTEI,Land Brandenburg (Platz 22),
"Haas, Johnny",1994,Die Humanisten,Land Thüringen (Platz 4),
"Haas, Klaus",1954,DKP,Land Baden-Württemberg (Platz 5),
"Haas, Marie Anne Sophie",1975,GRÜNE,Land Nordrhein-Westfalen (Platz 71),
"Haas, Vanessa",1999,AfD,Land Saarland (Platz 3),
"Haase, Christian",1966,CDU,Wahlkreis 136,
"Haase, Christiane",1973,CDU,Land Baden-Württemberg (Platz 35),
"Haase, Sebastian",1974,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 5),
"Habeck, Robert",1969,GRÜNE,"Wahlkreis 001
    und 
    Land Schleswig-Holstein (Platz 2)",
"Habel, Elisabeth",1997,Die PARTEI,Land Sachsen (Platz 7),
"Haberkorn, Enrico",1975,dieBasis,"Wahlkreis 135
    und 
    Land Nordrhein-Westfalen (Platz 8)",
"Häberle, Axel Reinhard",1956,CDU,Land Baden-Württemberg (Platz 58),
"Habermann, Stefan",1964,dieBasis,Wahlkreis 003,
"Haböck, Vera Maria",1974,FDP,Land Saarland (Platz 8),
"Hachmann, Christian",1984,PIRATEN,Land Hessen (Platz 11),
"Hackel, Bernd Michael",1974,AusUnsrerMitte,Wahlkreis 207,
"Hackemann, Philip Franz Hermann",1995,FDP,Land Bayern (Platz 28),
"Hacker, Claus-Henning Christian",1979,dieBasis,Wahlkreis 079,
"Häcker, Susanne",1974,GRÜNE,Land Baden-Württemberg (Platz 56),
"Hacker, Thomas",1967,FDP,"Wahlkreis 237
    und 
    Land Bayern (Platz 13)",
"Haenschke, Gustav",1948,NPD,Land Sachsen-Anhalt (Platz 5),
"Haermeyer, Patrick",1991,GRÜNE,Land Baden-Württemberg (Platz 35),
"Haffner, Johanna Esther Leonie",1992,GRÜNE,Land Berlin (Platz 19),
"Häffner, Julian Johannes",2003,PIRATEN,"Wahlkreis 246
    und 
    Land Bayern (Platz 11)",
"Hafner, Dorothea",1968,GRÜNE,Wahlkreis 202,
"Häfner, Friedrich",1965,Die PARTEI,Wahlkreis 264,
"Hagedorn, Bettina",1955,SPD,"Wahlkreis 009
    und 
    Land Schleswig-Holstein (Platz 4)",
"Hagenbruch, Detlef Walter",1945,FREIE WÄHLER,Wahlkreis 093,
"Häger, Iris",1971,FREIE WÄHLER,Wahlkreis 143,
"Hagl-Kehl, Rita Andrea",1970,SPD,"Wahlkreis 227
    und 
    Land Bayern (Platz 6)",
"Dr. Hahn, André",1963,DIE LINKE,"Wahlkreis 158
    und 
    Land Sachsen (Platz 4)",
"Hahn, Florian Peter",1974,CSU,"Wahlkreis 221
    und 
    Land Bayern (Platz 7)",
"Hahn, Jörg Wilhelm Heinrich",1967,dieBasis,Land Nordrhein-Westfalen (Platz 24),
"Hahn, Leander",1996,ÖDP,Land Rheinland-Pfalz (Platz 15),
"Hahn, Leon Maria Michael",1991,SPD,"Wahlkreis 293
    und 
    Land Baden-Württemberg (Platz 24)",
"Hahn, Pearl",1986,DIE LINKE,Land Hessen (Platz 9),
"Hähne, Christopher",1968,LKR,Land Schleswig-Holstein (Platz 3),
"Haiber, Sven Peter",1998,Die Humanisten,Land Baden-Württemberg (Platz 11),
"Haidari, Hafizollah",1977,LKR,Land Hessen (Platz 3),
"Haimerl-Kunze, Kerstin Maria",1970,FREIE WÄHLER,"Wahlkreis 228
    und 
    Land Bayern (Platz 17)",
"Hajek, Anna Victoria",1990,CSU,Land Bayern (Platz 40),
"Hajek, Rainer",1945,CDU,Land Niedersachsen (Platz 34),
"Haker, Lukas",1999,Die PARTEI,Wahlkreis 179,
"Hakverdi, Metin",1969,SPD,"Wahlkreis 023
    und 
    Land Hamburg (Platz 6)",
"Halfmann, Ursula Michaela",1971,dieBasis,"Wahlkreis 288
    und 
    Land Baden-Württemberg (Platz 25)",
"Haller, Andreas",1970,Bündnis C,Land Baden-Württemberg (Platz 2),
"Halt, Frank-Rüdiger",1948,dieBasis,Wahlkreis 028,
"Hamacher, Kai",1974,FREIE WÄHLER,"Wahlkreis 063
    und 
    Land Brandenburg (Platz 3)",
"Hamann, Kerstin",1962,Tierschutzpartei,Land Brandenburg (Platz 1),
"Hamberger, Wolfgang",1994,Die Humanisten,Wahlkreis 261,
"Hamel, Bettina Merve",1970,ÖDP,Land Hessen (Platz 1),
"Hamm, David-Sebastian",1977,FDP,"Wahlkreis 269
    und 
    Land Baden-Württemberg (Platz 32)",
"Hamm, Sarah Cathérine Hannah",1994,Volt,Land Saarland (Platz 4),
"Hämmelmann, Robert Kurt",1964,dieBasis,"Wahlkreis 251
    und 
    Land Bayern (Platz 52)",
"Hampel, Armin-Paulus",1957,AfD,Wahlkreis 037,
"Hampf, Anna Katharina",1951,Tierschutzpartei,Land Schleswig-Holstein (Platz 9),
"Hanáček, Dominik",1978,Die PARTEI,Land Bayern (Platz 14),
"Hänchen, Siegmund",1970,FREIE WÄHLER,"Wahlkreis 157
    und 
    Land Sachsen (Platz 10)",
"Händelkes, Melanie",1977,NPD,Land Nordrhein-Westfalen (Platz 3),
"Handfest, Fabian",2001,Die PARTEI,"Wahlkreis 215
    und 
    Land Bayern (Platz 15)",
"Hane-Knoll, Beate",1961,DIE LINKE,Wahlkreis 101,
"Hanke, Reginald Karl Heinz",1956,FDP,"Wahlkreis 195
    und 
    Land Thüringen (Platz 2)",
"Hanker, Mirco Karsten",1966,AfD,Land Niedersachsen (Platz 10),
"Hanneforth, Ann-Katrin",1990,Die PARTEI,"Wahlkreis 131
    und 
    Land Nordrhein-Westfalen (Platz 17)",
"Hannemann, Michael",1981,NPD,Land Schleswig-Holstein (Platz 4),
"Hannig, Frank",1970,Direktkandidat Frank Hannig,Wahlkreis 160,
"Hannig, Jenny",1992,Die PARTEI,Land Sachsen-Anhalt (Platz 11),
"Hannott, Niklas",1995,FDP,"Wahlkreis 171
    und 
    Land Hessen (Platz 13)",
"Hansel, Frank-Christian",1964,AfD,Wahlkreis 081,
"Hänsel, Heike Stefanie",1966,DIE LINKE,"Wahlkreis 290
    und 
    Land Baden-Württemberg (Platz 5)",
"Hansen, Arnold",1956,FREIE WÄHLER,Land Niedersachsen (Platz 2),
"Hansen, Carina",1960,Tierschutzpartei,"Wahlkreis 067
    und 
    Land Sachsen-Anhalt (Platz 2)",
"Hansen, Jane Daniela",1975,V-Partei³,Land Hamburg (Platz 1),
"Hansen, Johannes Sebastian",1995,GRÜNE,"Wahlkreis 251
    und 
    Land Bayern (Platz 26)",
"Hansen, Jörg",1964,FDP,Wahlkreis 009,
"Hansen, Maj-Britt",1995,Volt,Land Hamburg (Platz 9),
"Hansen, Mats Marti",1988,SPD,Land Schleswig-Holstein (Platz 17),
"Hansen, Nils Magnus",1977,DKP,Land Hamburg (Platz 2),
"Hansen, Yorik Timo",2002,Die PARTEI,Land Schleswig-Holstein (Platz 12),
"Hanser, Thomas",1990,DIE LINKE,Wahlkreis 280,
"Hanses, Michael",1966,Die PARTEI,"Wahlkreis 139
    und 
    Land Nordrhein-Westfalen (Platz 71)",
"Hanske, Kerstin",1970,AfD,Wahlkreis 262,
"Hantke, Stefanie",1981,FDP,Land Thüringen (Platz 6),
"Harant, Susanne",1961,Tierschutzpartei,Land Rheinland-Pfalz (Platz 3),
"Harbecke, Dirk",1965,LKR,Land Nordrhein-Westfalen (Platz 16),
"Harbehband, Mehran Jamma",1989,Team Todenhöfer,Land Hamburg (Platz 7),
"Harder-Kühnel, Mariana Iris",1974,AfD,"Wahlkreis 175
    und 
    Land Hessen (Platz 1)",
"Hardt, Jürgen",1963,CDU,"Wahlkreis 103
    und 
    Land Nordrhein-Westfalen (Platz 22)",
"Hardt, Roland Walther",1969,Die PARTEI,Land Hessen (Platz 30),
"Harig, Julia",1985,du.,Land Bayern (Platz 5),
"Härig-Dickersbach, Beate",1957,AfD,Wahlkreis 202,
"Harings, Kristina Verena",1989,SPD,Land Niedersachsen (Platz 46),
"Hariri, Ali",1991,Team Todenhöfer,Land Berlin (Platz 20),
"Harjes, Michael",1974,SPD,"Wahlkreis 034
    und 
    Land Niedersachsen (Platz 30)",
"Harlaß, Andreas",1961,AfD,"Wahlkreis 160
    und 
    Land Sachsen (Platz 5)",
"von Harlessem, Joachim",1958,V-Partei³,Land Rheinland-Pfalz (Platz 3),
"Harms, Luca-Marie",2001,Die PARTEI,Land Niedersachsen (Platz 21),
"Harms, Olaf",1961,DKP,Land Hamburg (Platz 3),
"Harms, Uwe",1963,CDU,"Wahlkreis 066
    und 
    Land Sachsen-Anhalt (Platz 7)",
"Harras, Björn",1983,DIE LINKE,"Wahlkreis 194
    und 
    Land Thüringen (Platz 6)",
"Harrou, Salima",1999,Team Todenhöfer,Land Bremen (Platz 7),
"Härtel, Mathis",1994,Die Humanisten,"Wahlkreis 055
    und 
    Land Bremen (Platz 3)",
"Harter, Karl-Friedrich",1965,Gesundheitsforschung,"Wahlkreis 079
    und 
    Land Nordrhein-Westfalen (Platz 3)",
"Hartewig, Philipp",1994,FDP,"Wahlkreis 161
    und 
    Land Sachsen (Platz 3)",
"Hartfelder, Lars",1977,FDP,"Wahlkreis 062
    und 
    Land Brandenburg (Platz 8)",
"Harting, Burkhard",1962,FREIE WÄHLER,Wahlkreis 106,
"Harting, Matthias",1970,Internationalistische Liste,"Wahlkreis 287
    und 
    Land Baden-Württemberg (Platz 11)",
"Hartl, Maximilian",2000,Die PARTEI,Land Bayern (Platz 22),
"Hartl, Tim Tula",1999,Die Humanisten,Land Hessen (Platz 11),
"Härtlein, Ronald",1980,Ein Leipziger für Leipzig,Wahlkreis 152,
"Hartmann, Alexander",1961,BüSo,Wahlkreis 179,
"Hartmann, Berthold Karl",1952,BÜNDNIS21,"Wahlkreis 169
    und 
    Land Hessen (Platz 4)",
"Hartmann, Bettina Ingeborg",1962,dieBasis,Land Hessen (Platz 20),
"Hartmann, Frederik F.",1988,GRÜNE,"Wahlkreis 106
    und 
    Land Nordrhein-Westfalen (Platz 70)",
"Hartmann, Harald Günter",1952,Gartenpartei,Land Sachsen-Anhalt (Platz 4),
"Hartmann, Lutz",1965,MLPD,Land Sachsen (Platz 4),
"Hartmann, Markus",1978,CSU,Land Bayern (Platz 75),
"Hartmann, Martin Josef",1983,dieBasis,"Wahlkreis 225
    und 
    Land Bayern (Platz 49)",
"Hartmann, Niklas",1996,Die PARTEI,"Wahlkreis 135
    und 
    Land Nordrhein-Westfalen (Platz 80)",
"Hartmann, Niklas",2000,Die PARTEI,Wahlkreis 172,
"Hartmann, Regina Luise",1956,BÜNDNIS21,Land Hessen (Platz 13),
"Hartmann, Sebastian",1977,SPD,"Wahlkreis 097
    und 
    Land Nordrhein-Westfalen (Platz 3)",
"Hartmann, Stefan",1968,DIE LINKE,Wahlkreis 161,
"Hartmann, Uwe Georg",1963,BP,Land Bayern (Platz 15),
"Hartmann, Werner",1945,Werner Hartmann,Wahlkreis 266,
"Hartung, Ekaterina",1990,CDU,Land Baden-Württemberg (Platz 44),
"Hartung, Roland",1961,PIRATEN,Land Rheinland-Pfalz (Platz 9),
"Hartung, Sabine",1962,FREIE WÄHLER,"Wahlkreis 040
    und 
    Land Niedersachsen (Platz 18)",
"Hartung, Stefan",1989,NPD,Land Sachsen (Platz 2),
"Hartz, Jan Ole Bernd",1983,Die Humanisten,Land Hamburg (Platz 5),
"Härtzsch, Alfred",1951,Bündnis C,Wahlkreis 170,
"Harutunian-Mascia, Armine",1990,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 20),
"Harzer, Ulrike",1968,FDP,"Wahlkreis 164
    und 
    Land Sachsen (Platz 4)",
"Hashagen, Georg Rüdiger",1949,AfD,Wahlkreis 187,
"Haßel, Oswin Ansgar",1994,Volt,Land Sachsen (Platz 6),
"Haßelbusch, Wiebke",1995,DIE LINKE,Land Hamburg (Platz 5),
"Haßelmann, Britta Maria",1961,GRÜNE,"Wahlkreis 132
    und 
    Land Nordrhein-Westfalen (Platz 1)",
"Hatz, Rainer",1965,NPD,Land Bayern (Platz 5),
"Hauck, Daniela Elisabeth Henriette",1971,FDP,"Wahlkreis 218
    und 
    Land Bayern (Platz 27)",
"Hauenschild, Johannes Martin",1997,Volt,Land Hessen (Platz 10),
"Hauer, Matthias",1977,CDU,"Wahlkreis 120
    und 
    Land Nordrhein-Westfalen (Platz 11)",
"Haug, Jochen",1973,AfD,"Wahlkreis 095
    und 
    Land Nordrhein-Westfalen (Platz 11)",
"Haug, Sara",1996,GRÜNE,"Wahlkreis 280
    und 
    Land Baden-Württemberg (Platz 32)",
"Haugk, Holger Gerhard",1970,GRÜNE,Land Thüringen (Platz 12),
"Haunhorst, Maria Anita",1956,dieBasis,Wahlkreis 039,
"Häupl, Lothar",1949,UNO - Menschenrecht - FRIEDEN für Alle,Wahlkreis 159,
"Haupt, Michael",1968,LKR,Wahlkreis 135,
"Haupt, Tilman",1997,PIRATEN,Land Sachsen (Platz 10),
"Hauschke, Jürgen",1961,Tierschutzpartei,Land Brandenburg (Platz 8),
"Häuser, Armin",1964,CDU,"Wahlkreis 177
    und 
    Land Hessen (Platz 19)",
"Hauser, Bärbel",1961,Tierschutzpartei,Land Mecklenburg-Vorpommern (Platz 18),
"Hauser, Karl",1958,FDP,Land Bayern (Platz 63),
"Hauser, Kira",1976,FREIE WÄHLER,"Wahlkreis 167
    und 
    Land Hessen (Platz 3)",
"Hauser-Felberbaum, Annette Elisabeth",1961,FREIE WÄHLER,"Wahlkreis 256
    und 
    Land Bayern (Platz 2)",
"Häusler, Anna-Carina",1989,FREIE WÄHLER,"Wahlkreis 242
    und 
    Land Bayern (Platz 15)",
"Hausner, Manuel",1989,TNT,Wahlkreis 172,
"Hausner, Marco",1998,DIE LINKE,Wahlkreis 295,
"Dr. Haußels, Ralf",1969,dieBasis,"Wahlkreis 180
    und 
    Land Hessen (Platz 27)",
"Haustein, Heinz Henry",1956,DKP,Land Baden-Württemberg (Platz 8),
"Haustein, Nino",1989,GRÜNE,Wahlkreis 158,
"Haustein, Simon",1995,Bündnis C,"Wahlkreis 164
    und 
    Land Sachsen (Platz 2)",
"Haveneth, Birgit",1975,FDP,"Wahlkreis 088
    und 
    Land Nordrhein-Westfalen (Platz 48)",
"Hayduk, Norbert",1958,DIE LINKE,Wahlkreis 112,
"Hebel, Rouven",1974,FREIE WÄHLER,Wahlkreis 201,
"Heck, Eckhard",1962,Die PARTEI,Wahlkreis 088,
"Dr. Heck, Stefan",1982,CDU,"Wahlkreis 171
    und 
    Land Hessen (Platz 7)",
"Heerschop, Sacha",1987,Volt,Land Rheinland-Pfalz (Platz 7),
"Hees, Florian",1983,Die PARTEI,Land Nordrhein-Westfalen (Platz 61),
"Heeschen, Berit",1970,Tierschutzpartei,Land Niedersachsen (Platz 7),
"Heesen, Rene",1992,GRÜNE,"Wahlkreis 111
    und 
    Land Nordrhein-Westfalen (Platz 30)",
"Heger, Klaus",1955,AfD,Wahlkreis 149,
"Heger, Nicole-Annette",1970,GRÜNE,Wahlkreis 278,
"Heidenblut, Dirk",1961,SPD,"Wahlkreis 119
    und 
    Land Nordrhein-Westfalen (Platz 65)",
"Dr. Heider, Silvio",1987,SPD,"Wahlkreis 164
    und 
    Land Sachsen (Platz 13)",
"Heidinger, Andreas Bernd",1973,Die PARTEI,Land Baden-Württemberg (Platz 34),
"Heidkamp, Axel",1958,PIRATEN,"Wahlkreis 056
    und 
    Land Brandenburg (Platz 6)",
"Heidkamp, Erich Heinrich",1948,AfD,Wahlkreis 179,
"Heidrich, Annette Mathilde",1967,SPD,"Wahlkreis 212
    und 
    Land Bayern (Platz 36)",
"Heidt, Peter",1965,FDP,"Wahlkreis 177
    und 
    Land Hessen (Platz 7)",
"Heier, Nico",1979,NPD,Land Sachsen-Anhalt (Platz 8),
"Heiermann, Sven",1977,dieBasis,Wahlkreis 141,
"Heift, Ina",1989,ÖDP,Land Nordrhein-Westfalen (Platz 13),
"Heigl, Michael",1974,Die PARTEI,Land Bayern (Platz 47),
"Heikebrügge, Stefan",1971,Die PARTEI,Land Niedersachsen (Platz 37),
"Heil, Dagmar Maria",1957,Volt,Land Hessen (Platz 1),
"Heil, Markus",1986,Mit Sachverstand die Zukunft gestalten,Wahlkreis 205,
"Heil, Mechthild",1961,CDU,"Wahlkreis 198
    und 
    Land Rheinland-Pfalz (Platz 5)",
"Heil, Wolfgang-Hubertus",1972,SPD,"Wahlkreis 045
    und 
    Land Niedersachsen (Platz 1)",
"Heiligenstadt, Frauke",1966,SPD,"Wahlkreis 052
    und 
    Land Niedersachsen (Platz 10)",
"Heilmann, Thomas",1964,CDU,"Wahlkreis 079
    und 
    Land Berlin (Platz 4)",
"Heilmann, Torsten Wolfgang",1966,FREIE WÄHLER,Wahlkreis 195,
"Heilrath, Peter",1969,GRÜNE,Land Bayern (Platz 44),
"Heim, Sarah",1996,GRÜNE,Land Baden-Württemberg (Platz 44),
"Heimann, Anne",1993,CDU,Land Sachsen (Platz 18),
"Heimbeck, Jörg",1969,FDP,Land Bayern (Platz 65),
"Heindl, Andreas",1953,BP,Land Bayern (Platz 16),
"Heindl, Matthias Philipp",1982,CDU,Land Baden-Württemberg (Platz 43),
"Heine, Peter Andreas",1955,DKP,Land Hessen (Platz 10),
"Heinecke, Volker",1975,FREIE WÄHLER,"Wahlkreis 037
    und 
    Land Niedersachsen (Platz 16)",
"Heinemann, Ingrid",1942,BüSo,Land Berlin (Platz 9),
"Heinke, Stefan",1978,dieBasis,"Wahlkreis 157
    und 
    Land Sachsen (Platz 4)",
"Heinke, Steffen",1962,MLPD,Land Thüringen (Platz 14),
"Heinkele, Julian Benjamin",1990,Die PARTEI,Land Baden-Württemberg (Platz 7),
"Heinlein, Manfred",1952,dieBasis,Wahlkreis 224,
"Heinrich, Frank",1964,CDU,"Wahlkreis 162
    und 
    Land Sachsen (Platz 11)",
"Heinrich, Gabriela",1963,SPD,"Wahlkreis 244
    und 
    Land Bayern (Platz 8)",
"Heinrich, Niels Daniel",1972,dieBasis,Wahlkreis 042,
"Dr. Heinritz-Bechtel, Christoph",1968,dieBasis,"Wahlkreis 165
    und 
    Land Sachsen (Platz 1)",
"Heintze, Stephan",1977,FREIE WÄHLER,Wahlkreis 101,
"Heinze, Robert Franz",1955,FDP,"Wahlkreis 122
    und 
    Land Nordrhein-Westfalen (Platz 23)",
"Dr. Heipertz, Martin Karl Georg",1976,dieBasis,Wahlkreis 182,
"Heise, Thorsten",1969,NPD,Land Thüringen (Platz 1),
"Heisig, Tobias",1995,FDP,Land Schleswig-Holstein (Platz 11),
"Heiss, Franzisca Anita Helena Theresia",1991,Tierschutzpartei,Land Hamburg (Platz 1),
"Heiß, Marie-Isabelle",1990,Volt,Land Bayern (Platz 3),
"Dr. Heister, Maria Elisabeth",1961,Volt,Land Rheinland-Pfalz (Platz 3),
"Heitbaum, Stephan",1974,FREIE WÄHLER,Wahlkreis 127,
"Heitmann, Kristof",1992,AfD,Wahlkreis 291,
"Heitmann, Linda",1982,GRÜNE,"Wahlkreis 019
    und 
    Land Hamburg (Platz 5)",
"Helbig, Heike",1973,CDU,Land Sachsen (Platz 16),
"Helck, Christian",1965,LKR,Wahlkreis 050,
"Helferich, Matthias",1988,AfD,"Wahlkreis 143
    und 
    Land Nordrhein-Westfalen (Platz 7)",
"Helfrich, Mark",1978,CDU,"Wahlkreis 003
    und 
    Land Schleswig-Holstein (Platz 7)",
"Helios, Artur Markus",1965,dieBasis,Wahlkreis 144,
"Hellbach, Dominique Pierre",1993,V-Partei³,Land Hessen (Platz 3),
"Helle, Robert",1998,DIE LINKE,Wahlkreis 146,
"Heller, David",1991,ÖDP,Land Brandenburg (Platz 9),
"Heller, Hannah",1990,GRÜNE,"Wahlkreis 208
    und 
    Land Rheinland-Pfalz (Platz 7)",
"Heller, Jessica",1990,CDU,"Wahlkreis 153
    und 
    Land Sachsen (Platz 6)",
"Hellinghausen, Jan",1990,SPD,Land Rheinland-Pfalz (Platz 23),
"Helling-Plahr, Katrin",1986,FDP,"Wahlkreis 138
    und 
    Land Nordrhein-Westfalen (Platz 15)",
"Hellmann, Johanna",1950,FREIE WÄHLER,"Wahlkreis 112
    und 
    Land Nordrhein-Westfalen (Platz 4)",
"Hellmich, Wolfgang",1958,SPD,"Wahlkreis 146
    und 
    Land Nordrhein-Westfalen (Platz 21)",
"Hellmig, Folke",1959,FREIE WÄHLER,"Wahlkreis 145
    und 
    Land Nordrhein-Westfalen (Platz 9)",
"Hellmund, Victoria Alizia Mariella",1999,Volt,Land Baden-Württemberg (Platz 19),
"Helmand, Gelwa",1995,Team Todenhöfer,Land Hessen (Platz 6),
"Helmbrecht, Heiko",1970,ÖDP,Land Bayern (Platz 35),
"Helmer, Peter Eberhard",1961,UNABHÄNGIGE,Wahlkreis 090,
"Helmer, Roland",1964,UNABHÄNGIGE,Wahlkreis 116,
"Helmerich, Frank",1977,FREIE WÄHLER,"Wahlkreis 248
    und 
    Land Bayern (Platz 51)",
"Hemm, Eva Maria",1973,Aktion Bürger für Gerechtigkeit,Wahlkreis 174,
"Hemmelgarn, Udo Theodor",1959,AfD,"Wahlkreis 135
    und 
    Land Nordrhein-Westfalen (Platz 13)",
"Hemmerich, Kai-Uwe",1969,CDU,Land Hessen (Platz 26),
"Hempel, Otto",1981,Die PARTEI,Land Berlin (Platz 8),
